user_id,username,password,nickname,phone,avatar,sex,birthday,is_valid
1,余承东,111111,余承东,12200003345,images/avatars/default.jpg,男,2000/1/1,1
2,雷军,111112,雷军,12200003346,images/avatars/default.jpg,男,2000/1/2,1
3,柳传志,111113,柳传志,12200003347,images/avatars/default.jpg,男,2000/1/3,1
4,索尼,111114,索尼,12200003348,images/avatars/default.jpg,男,2000/1/4,1
5,库克,111115,库克,12200003349,images/avatars/default.jpg,男,2000/1/5,1
6,当当,111116,当当,12200003350,images/avatars/default.jpg,男,2000/1/6,1
7,人大,111117,人大,12200003351,images/avatars/default.jpg,男,2000/1/7,1
8,清华,111118,清华,12200003352,images/avatars/default.jpg,男,2000/1/8,1
9,机工,111119,机工,12200003353,images/avatars/default.jpg,男,2000/1/9,1
10,三联书店,111120,三联书店,12200003354,images/avatars/default.jpg,男,2000/1/10,1
11,人文社,111121,人文社,12200003355,images/avatars/default.jpg,男,2000/1/11,1
12,读客,111122,读客,12200003356,images/avatars/default.jpg,男,2000/1/12,1
13,新星,111123,新星,12200003357,images/avatars/default.jpg,男,2000/1/13,1
14,张三,111124,张三,12200003358,images/avatars/default.jpg,男,2000/1/14,1
15,李四,111125,李四,12200003359,images/avatars/default.jpg,男,2000/1/15,1
16,王五,111126,王五,12200003360,images/avatars/default.jpg,男,2000/1/16,1
17,李柳,111127,李柳,12200003361,images/avatars/default.jpg,男,2000/1/17,1
18,朱琪,111128,朱琪,12200003362,images/avatars/default.jpg,女,2000/1/18,1
19,张强,111129,张强,12200003363,images/avatars/default.jpg,男,2000/1/19,1
20,丁震,111130,丁震,12200003364,images/avatars/default.jpg,男,2000/1/20,1
